ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13198575,JG409922,2023-09-03 21:50:00,054XX N MILWAUKEE AVE,502P,Other Offense,False / Stolen / Altered Trp,Street,1,0,1622,16,45,11,26,1136601.0,1936320.0,2023,2023-09-14 15:41:00,41.98142637,-87.77299737,"(41.98142637, -87.772997369)"
13199574,JG411101,2023-09-04 19:15:00,053XX S HOMAN AVE,486,Battery,Domestic Battery Simple,Residence,1,1,822,8,14,63,08B,1154617.0,1869058.0,2023,2023-09-14 15:41:00,41.79651034,-87.7085406,"(41.796510344, -87.708540596)"
13199642,JG411210,2023-09-04 21:47:00,035XX N CICERO AVE,502P,Other Offense,False / Stolen / Altered Trp,Street,1,0,1634,16,31,15,26,1143746.0,1923306.0,2023,2023-09-14 15:41:00,41.94558362,-87.74704737,"(41.945583621, -87.747047365)"
13199696,JG411222,2023-09-04 22:10:00,044XX N AUSTIN AVE,502P,Other Offense,False / Stolen / Altered Trp,Street,1,0,1622,16,38,15,26,1135547.0,1928943.0,2023,2023-09-14 15:41:00,41.96120206,-87.77704989,"(41.961202055, -87.777049892)"
13200550,JG412373,2023-05-24 12:00:00,059XX N MELVINA AVE,910,Motor Vehicle Theft,Automobile,Residence - Garage,0,1,1622,16,45,10,7,1133926.0,1939049.0,2023,2023-09-14 15:41:00,41.98896259,-87.78277087,"(41.988962585, -87.782770866)"
13200685,JG412660,2023-09-05 19:18:00,019XX N CENTRAL AVE,502P,Other Offense,False / Stolen / Altered Trp,Street,1,0,2515,25,29,25,26,1138744.0,1912269.0,2023,2023-09-14 15:41:00,41.91538933,-87.76570174,"(41.915389329, -87.765701742)"
13200930,JG412695,2023-09-05 19:22:00,021XX N AUSTIN AVE,520,Assault,Aggravated - Knife / Cutting Instrument,Apartment,1,1,2515,25,36,19,04A,1136050.0,1913726.0,2023,2023-09-14 15:41:00,41.91943601,-87.77556459,"(41.91943601, -87.775564587)"
13201040,JG412889,2023-09-05 23:30:00,012XX N LAVERGNE AVE,502P,Other Offense,False / Stolen / Altered Trp,Street,1,0,2533,25,37,25,26,1142810.0,1907622.0,2023,2023-09-14 15:41:00,41.90256263,-87.75087938,"(41.902562633, -87.750879383)"
13201167,JG412911,2023-09-05 22:54:00,019XX W NORTH AVE,502R,Other Offense,Vehicle Title / Registration Offense,Street,1,0,1424,14,1,24,26,1163086.0,1910663.0,2023,2023-09-14 15:41:00,41.91050544,-87.67631647,"(41.910505437, -87.676316472)"
13340870,JH118913,2023-12-07 01:00:00,050XX N BROADWAY,620,Burglary,Unlawful Entry,Apartment,0,0,2033,20,47,3,5,1167398.0,1933847.0,2023,2024-01-19 15:40:00,41.97403168,-87.65980667,"(41.974031676, -87.659806667)"
